# emgteach analysis export
# File: C:\Records\ejemplo.edf
# Channel: FCR
# Sampling rate (Hz): 1000
# Analysed window: 116.70-140.00 s of 140.0 s
# Detection sensitivity (k): 4.4
# Duration (s): 23.298
# Global RMS (mV): 0.087607
# MNF (Hz): 142.337
# MDF (Hz): 126.474
# iEMG (mV*s): 0.8063
# MDF slope (Hz/s): 0.21522
# MDF slope (Hz/min): 12.9132
# MDF R2: 0.0053
# MDF decline (%): -3.674
# Fatigue: not conclusive (the MDF trend does not fit)
#
# Per-segment metrics
t_s,rms_mv,mdf_hz
0.0000,0.012695,160.9204
0.5000,0.109335,124.5550
1.0000,0.111845,126.7497
1.5000,0.030608,109.8612
2.0000,0.080806,124.8521
2.5000,0.080309,141.9258
3.0000,0.114871,109.3317
3.5000,0.117157,121.8972
4.0000,0.028333,129.8434
4.5000,0.083472,130.9119
5.0000,0.083644,156.6514
5.5000,0.059259,104.6328
6.0000,0.098121,123.6796
6.5000,0.080145,120.1784
7.0000,0.022007,112.8160
7.5000,0.018731,136.0643
8.0000,0.130317,102.7179
8.5000,0.149251,132.7366
9.0000,0.073006,156.2901
9.5000,0.012644,119.3002
10.0000,0.014045,117.3272
10.5000,0.015843,106.5954
11.0000,0.152456,131.1507
11.5000,0.152132,131.7836
12.0000,0.016258,123.6517
12.5000,0.015102,117.0327
13.0000,0.011144,117.7989
13.5000,0.129432,90.4205
14.0000,0.140965,118.8769
14.5000,0.056573,157.1419
15.0000,0.013696,156.6399
15.5000,0.021038,119.6723
16.0000,0.133431,113.5479
16.5000,0.164049,136.6444
17.0000,0.096994,156.0848
17.5000,0.016194,157.7733
18.0000,0.020453,138.8909
18.5000,0.037979,83.9613
19.0000,0.134188,125.6109
19.5000,0.129485,177.4889
20.0000,0.014463,128.6638
20.5000,0.015885,138.0671
21.0000,0.064388,94.4172
21.5000,0.128051,112.1600
22.0000,0.111000,135.5809
