# emgteach analysis export (emgteach v3.7.0)
# Separador: ; — decimal: ,
# Archivo: ejemplo.edf
# Canal: FCR
# Segundo canal: ECR
# Frecuencia de muestreo (Hz): 1000
# Sensibilidad de detección (k): 4,4
# Ventana analizada: 116,70-140,00 s de 140,0 s
# Duración (s): 23,298
# Referencia CVM (mV) [FCR]: 0,2705 — calibración de este registro (6 repeticiones)
# Máximo de la tarea (% CVM) [FCR]: 101
# RMS global (mV) [FCR]: 0,087607
# MNF (Hz) [FCR]: 142,337
# MDF (Hz) [FCR]: 126,474
# iEMG (mV*s) [FCR]: 0,8063
# Pendiente MDF (Hz/s) [FCR]: 0,21522
# Pendiente MDF (Hz/min) [FCR]: 12,9132
# R² de MDF [FCR]: 0,0053
# Descenso MDF (%) [FCR]: -3,674
# Fatiga [FCR]: no concluyente (la tendencia de MDF no ajusta)
# Referencia CVM (mV) [ECR]: 0,1967 — calibración de este registro (6 repeticiones)
# Máximo de la tarea (% CVM) [ECR]: 82
# RMS global (mV) [ECR]: 0,052631
# MNF (Hz) [ECR]: 106,866
# MDF (Hz) [ECR]: 93,080
# iEMG (mV*s) [ECR]: 0,6175
# Pendiente MDF (Hz/s) [ECR]: 0,17957
# Pendiente MDF (Hz/min) [ECR]: 10,7744
# R² de MDF [ECR]: 0,0047
# Descenso MDF (%) [ECR]: -4,204
# Fatiga [ECR]: no concluyente (la tendencia de MDF no ajusta)
#
# Métricas por segmento
t_s;rms_mv;mdf_hz;rms_mv_2;mdf_hz_2
0,0000;0,012695;160,9204;0,077223;88,8785
0,5000;0,109335;124,5550;0,078490;107,3357
1,0000;0,111845;126,7497;0,049580;105,5630
1,5000;0,030608;109,8612;0,051103;97,2783
2,0000;0,080806;124,8521;0,025914;90,6953
2,5000;0,080309;141,9258;0,073868;95,7854
3,0000;0,114871;109,3317;0,073584;95,6582
3,5000;0,117157;121,8972;0,062510;89,4807
4,0000;0,028333;129,8434;0,063569;105,0614
4,5000;0,083472;130,9119;0,025567;108,4220
5,0000;0,083644;156,6514;0,047561;72,9170
5,5000;0,059259;104,6328;0,046579;102,9207
6,0000;0,098121;123,6796;0,023493;84,2350
6,5000;0,080145;120,1784;0,020690;74,7113
7,0000;0,022007;112,8160;0,079196;123,9411
7,5000;0,018731;136,0643;0,079246;115,3900
8,0000;0,130317;102,7179;0,057086;80,3432
8,5000;0,149251;132,7366;0,064077;69,4416
9,0000;0,073006;156,2901;0,032486;88,0388
9,5000;0,012644;119,3002;0,062748;81,5764
10,0000;0,014045;117,3272;0,064403;77,8716
10,5000;0,015843;106,5954;0,024532;73,5537
11,0000;0,152456;131,1507;0,051217;75,9852
11,5000;0,152132;131,7836;0,055508;60,4668
12,0000;0,016258;123,6517;0,055169;63,9166
12,5000;0,015102;117,0327;0,061889;94,0664
13,0000;0,011144;117,7989;0,040262;87,7507
13,5000;0,129432;90,4205;0,022739;113,0687
14,0000;0,140965;118,8769;0,024551;107,1773
14,5000;0,056573;157,1419;0,020958;81,8213
15,0000;0,013696;156,6399;0,079425;104,0102
15,5000;0,021038;119,6723;0,078659;91,0687
16,0000;0,133431;113,5479;0,022108;80,7535
16,5000;0,164049;136,6444;0,024475;115,6504
17,0000;0,096994;156,0848;0,019725;83,3074
17,5000;0,016194;157,7733;0,062266;77,0824
18,0000;0,020453;138,8909;0,062737;106,6932
18,5000;0,037979;83,9613;0,018780;75,4093
19,0000;0,134188;125,6109;0,021578;124,9992
19,5000;0,129485;177,4889;0,028451;81,8833
20,0000;0,014463;128,6638;0,087877;97,7083
20,5000;0,015885;138,0671;0,088275;104,7095
21,0000;0,064388;94,4172;0,026169;91,0220
21,5000;0,128051;112,1600;0,024761;141,4863
22,0000;0,111000;135,5809;0,023571;83,4358

# Contracciones
n;start_s;duration_s;muscle;rms_mv;peak_pct;mdf_hz;emd_ms
1;0,516;0,417;ECR;0,118587;77,0;106,50;
2;1,158;1,021;Coactivación;0,110750;74,3;126,53;
3;2,414;0,947;Coactivación;0,075656;76,2;93,36;
4;3,671;0,966;Coactivación;0,119268;86,0;126,49;
5;4,915;1,053;Coactivación;0,081960;58,8;156,87;
6;6,307;0,542;FCR;0,132772;76,7;124,29;
7;7,160;0,634;ECR;0,096812;73,6;115,20;
8;8,647;0,748;Coactivación;0,172424;94,7;133,93;
9;10,200;0,522;ECR;0,087971;66,0;77,72;
10;11,421;0,653;Coactivación;0,188615;92,1;126,61;
11;12,827;0,555;ECR;0,081709;59,0;86,43;
12;14,123;0,747;FCR;0,162919;90,7;129,15;
13;15,415;0,565;ECR;0,104586;65,8;115,67;
14;16,722;0,748;FCR;0,189548;100,5;155,66;
15;18,063;0,536;ECR;0,084389;60,0;111,98;
16;19,295;0,724;FCR;0,157614;87,9;137,14;
17;20,059;1,202;ECR;0,082770;81,5;102,28;
18;21,464;1,116;FCR;0,121242;88,9;111,21;

# Coactivación (Falconer-Winter)
window;start_s;end_s;mean_1_pct;mean_2_pct;index_pct;note
Registro completo;0,000;23,299;11,5;9,7;30,7;
